seq,distance_m,interval_ms,pad_inferred_from_data
408,0.65,,0
102,0.66,101.77187499357387,0
102,0.64,101.90808301558718,0
102,0.6,102.22704196348786,0
102,0.62,102.12095803581178,0
102,0.6,102.03895799349993,0
102,0.61,102.23199997562915,0
102,0.61,101.7176250461489,0
102,0.63,101.82604199508205,0
102,0.61,102.48333297204226,0
102,0.63,101.83929197955877,0
102,0.61,101.7807080061175,0
102,0.64,101.79083404364064,0
102,0.62,102.44983294978738,0
102,0.61,101.48599999956787,0
204,0.59,204.34175000991672,0
102,0.59,101.65687499102205,0
102,0.61,101.91666701575741,0
102,0.59,102.14125004131347,0
102,0.59,101.95149999344721,0
102,0.63,102.06383297918364,0
102,0.61,101.89320798963308,0
102,0.61,102.10870899027213,0
102,0.57,101.96550004184246,0
102,0.66,102.11670800345019,0
102,0.64,102.54041699226946,0
102,0.62,101.69899999164045,0
102,0.6,102.23041597055271,0
204,0.61,204.0403340361081,0
102,0.61,102.00962499948218,0
102,0.62,102.02154098078609,0
102,0.64,101.42887500114739,0
102,0.57,102.36558399628848,0
102,0.65,102.06112498417497,0
204,0.61,203.96183303091675,0
102,0.6,101.81866696802899,0
102,0.63,102.23808302544057,0
102,0.63,101.98870801832527,0
102,0.61,102.02983400085941,0
102,0.62,101.95662500336766,0
102,0.56,102.82108298270032,0
102,0.61,101.19320801459253,0
102,0.63,102.01895900536329,0
102,0.58,101.99512494727969,0
102,0.61,101.98620799928904,0
102,0.61,102.05612500431016,0
102,0.62,102.02462499728426,0
102,0.62,101.99270804878324,0
102,0.63,101.55274998396635,0
102,0.56,102.0039590075612,0
102,0.61,102.16033295728266,0
102,0.58,101.944167050533,0
408,0.63,408.50920794764534,0
102,0.63,101.43912502098829,0
102,0.64,102.13866701815277,0
102,0.63,102.7432499686256,0
102,0.61,101.44291602773592,0
102,0.6,101.63104196544737,0
102,0.68,103.00312499748543,0
102,0.61,101.63845802890137,0
102,0.67,101.77254199516028,0
102,0.6,102.00750001240522,0
102,0.62,102.3051249794662,0
102,0.59,101.38370800996199,0
102,0.58,102.35591698437929,0
102,0.6,101.58220800803974,0
102,0.66,102.06750000361353,0
102,0.64,101.94945900002494,0
102,0.64,102.34483302338049,0
102,0.49,102.01466700527817,0
102,0.62,101.87249997397885,0
102,0.58,101.82620800333098,0
204,0.6,204.02141701197252,0
102,0.62,102.19075001077726,0
102,0.62,101.79812496062368,0
102,0.62,102.04870800953358,0
102,0.64,102.21454198472202,0
102,0.61,102.23925003083423,0
102,0.64,101.8682909780182,0
102,0.6,102.01137501280755,0
102,0.61,101.96945897769183,0
102,0.63,101.66437504813075,0
102,0.64,102.02520794700831,0
102,0.6,102.05900005530566,0
102,0.63,102.07929194439203,0
102,0.58,103.02025004057214,0
102,0.6,101.06870799791068,0
102,0.62,101.74737498164177,0
102,0.63,102.01329202391207,0
102,0.59,102.01270796824247,0
102,0.62,102.04575001262128,0
102,0.56,102.33899997547269,0
204,0.63,203.99158302461728,0
102,0.59,102.01462497934699,0
102,0.61,102.04916703514755,0
102,0.61,101.9697500159964,0
102,0.64,101.98708297684789,0
102,0.58,102.00304200407118,0
102,0.59,102.01737500028685,0
102,0.65,102.15595801128075,0
102,0.57,102.6118749869056,0
102,0.61,101.38399997958913,0
102,0.63,101.92487499443814,0
102,0.63,102.66612499253824,0
102,0.59,101.3170420192182,0
102,0.6,102.05275000771508,0
102,0.61,102.08108299411833,0
102,0.62,102.560417028144,0
102,0.56,101.40570800285786,0
102,0.63,101.99474997352809,0
102,0.62,101.88408399699256,0
102,0.61,102.03587502473965,0
306,0.61,305.6516249780543,0
102,0.64,102.78741602087393,0
102,0.63,102.29895898373798,0
102,0.62,101.31583298789337,0
102,0.65,101.92591702798381,0
102,0.69,102.74970799218863,0
102,0.62,101.27812501741573,0
102,0.58,102.02049999497831,0
102,0.59,102.76666696881875,0
102,0.6,101.20570799335837,0
102,0.62,102.02887502964586,0
102,0.62,101.96520801400766,0
102,0.61,102.79566695680842,0
102,0.61,101.23345803003758,0
102,0.6,101.97774996049702,0
102,0.58,102.05100005259737,0
102,0.65,101.94091696757823,0
102,0.67,101.9847079878673,0
102,0.63,102.04766702372581,0
204,0.63,204.01262497762218,0
102,0.65,102.75300004286692,0
102,0.6,102.11741697276011,0
102,0.64,101.85820801416412,0
102,0.61,101.79654200328514,0
102,0.66,102.3850409546867,0
102,0.61,101.13008401822299,0
102,0.57,101.996915997006,0
102,0.62,101.94991703610867,0
102,0.6,102.51112497644499,0
102,0.62,101.5320000005886,0
102,0.63,102.85841702716425,0
102,0.59,102.0102909533307,0
102,0.56,101.95045900763944,0
102,0.62,101.96720802923664,0
102,0.64,102.0302499528043,0
102,0.65,101.32108302786946,0
102,0.61,102.66745899571106,0
102,0.61,101.43770801369101,0
102,0.59,101.39554197667167,0
204,0.66,204.39079101197422,0
102,0.59,102.86791698308662,0
102,0.6,101.90458304714411,0
102,0.61,100.94549995847046,0
102,0.57,102.35637502046302,0
102,0.63,101.97737498674542,0
102,0.56,102.78262500651181,0
102,0.63,101.31295898463577,0
102,0.62,101.55408299760893,0
102,0.61,102.33616700861603,0
102,0.63,102.8377499897033,0
102,0.65,101.23654099879786,0
102,0.59,101.92933399230242,0
102,0.61,102.8466250281781,0
102,0.58,101.21454100590199,0
102,0.6,102.6971249957569,0
102,0.65,101.8567499704659,0
102,0.63,101.4400000567548,0
102,0.64,101.96845897007734,0
102,0.62,102.0112499827519,0
204,0.66,204.00508301099762,0
102,0.61,102.77933301404119,0
102,0.63,102.05829201731831,0
102,0.63,101.16633295547217,0
102,0.63,102.78908401960507,0
102,0.61,101.21720802271739,0
102,0.66,101.97420796612278,0
102,0.63,101.65062500163913,0
102,0.64,102.46962500968948,0
102,0.62,101.48808400845155,0
102,0.62,102.47912496561185,0
102,0.62,102.01858304208145,0
102,0.66,102.7644999558106,0
102,0.65,102.08170802798122,0
102,0.63,101.86066699679941,0
102,0.62,101.34200000902638,0
102,0.63,102.67416702117771,0
102,0.64,101.24129097675905,0
102,0.59,102.87479200633243,0
102,0.59,101.1439579888247,0
204,0.61,204.0032090153545,0
102,0.63,102.00783296022564,0
102,0.6,102.81545802718028,0
102,0.64,101.92154202377424,0
102,0.58,102.20687498804182,0
102,0.62,101.06862499378622,0
102,0.64,102.78208297677338,0
102,0.63,102.09137503989041,0
102,0.67,101.16887500043958,0
